epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
117,0.001080,0.000084,0.099616,0.466519,0.374729,9.179005,0.1240,0.1390,0.1311,0.2000,0.2242,0.2114,0.2760,0.3094,0.2918,223,250,0.1712,1.1,0.0,0.000206
118,0.001054,0.000083,0.097124,0.465344,0.374272,9.107225,0.1235,0.1390,0.1308,0.2191,0.2466,0.2321,0.2869,0.3229,0.3038,223,251,0.1712,1.1,0.0,0.000204
119,0.001006,0.000068,0.093782,0.473538,0.381767,9.177046,0.1297,0.1390,0.1342,0.2176,0.2332,0.2251,0.2887,0.3094,0.2987,223,239,0.1712,1.1,0.0,0.000203
120,0.000989,0.000060,0.092905,0.474908,0.382985,9.192317,0.1172,0.1256,0.1212,0.2134,0.2287,0.2208,0.2971,0.3184,0.3074,223,239,0.1712,1.1,0.0,0.000201
121,0.001012,0.000064,0.094795,0.474202,0.384224,8.997828,0.1207,0.1256,0.1231,0.1940,0.2018,0.1978,0.2716,0.2825,0.2769,223,232,0.1712,1.1,0.0,0.000200
122,0.000983,0.000061,0.092172,0.474554,0.383620,9.093370,0.1250,0.1390,0.1316,0.2218,0.2466,0.2335,0.2782,0.3094,0.2930,223,248,0.1712,1.1,0.0,0.000198
123,0.001025,0.000098,0.092683,0.472229,0.381761,9.046756,0.1079,0.1166,0.1121,0.1992,0.2152,0.2069,0.2739,0.2960,0.2845,223,241,0.1712,1.1,0.0,0.000197
124,0.001030,0.000087,0.094250,0.462256,0.369828,9.242764,0.1220,0.1390,0.1300,0.1969,0.2242,0.2096,0.2756,0.3139,0.2935,223,254,0.1712,1.1,0.0,0.000195
125,0.000992,0.000071,0.092109,0.477500,0.386168,9.133217,0.1070,0.1166,0.1116,0.1934,0.2108,0.2017,0.2757,0.3004,0.2876,223,243,0.1712,1.1,0.0,0.000194
126,0.000992,0.000079,0.091244,0.488786,0.396584,9.220218,0.1255,0.1345,0.1299,0.2050,0.2197,0.2121,0.2887,0.3094,0.2987,223,239,0.1712,1.1,0.0,0.000193
127,0.000923,0.000063,0.086000,0.481447,0.389995,9.145158,0.1352,0.1480,0.1413,0.2172,0.2377,0.2270,0.2910,0.3184,0.3041,223,244,0.1712,1.1,0.0,0.000191
128,0.000880,0.000052,0.082787,0.479302,0.388229,9.107296,0.1463,0.1614,0.1535,0.2073,0.2287,0.2175,0.2724,0.3004,0.2857,223,246,0.1712,1.1,0.0,0.000190
129,0.000880,0.000050,0.082969,0.488456,0.397345,9.111139,0.1261,0.1345,0.1302,0.2185,0.2332,0.2256,0.2815,0.3004,0.2907,223,238,0.1712,1.1,0.0,0.000188
130,0.000872,0.000053,0.081960,0.484936,0.393546,9.139009,0.1240,0.1345,0.1290,0.2231,0.2422,0.2323,0.2851,0.3094,0.2968,223,242,0.1712,1.1,0.0,0.000187
131,0.000820,0.000046,0.077377,0.485580,0.394863,9.071719,0.1098,0.1211,0.1151,0.2033,0.2242,0.2132,0.2764,0.3049,0.2900,223,246,0.1712,1.1,0.0,0.000185
132,0.000832,0.000056,0.077554,0.481116,0.390123,9.099310,0.1215,0.1345,0.1277,0.2065,0.2287,0.2170,0.2834,0.3139,0.2979,223,247,0.1712,1.1,0.0,0.000184
133,0.000822,0.000046,0.077539,0.489439,0.397770,9.166900,0.1157,0.1256,0.1204,0.1983,0.2152,0.2065,0.2686,0.2915,0.2796,223,242,0.1712,1.1,0.0,0.000182
134,0.000825,0.000061,0.076371,0.485289,0.394539,9.075057,0.1240,0.1390,0.1311,0.2120,0.2377,0.2241,0.2760,0.3094,0.2918,223,250,0.1712,1.1,0.0,0.000181
135,0.000826,0.000063,0.076381,0.486991,0.396683,9.030820,0.1013,0.1076,0.1043,0.1983,0.2108,0.2043,0.2785,0.2960,0.2870,223,237,0.1712,1.1,0.0,0.000179
136,0.000825,0.000052,0.077254,0.495993,0.404463,9.152990,0.1050,0.1121,0.1085,0.1933,0.2063,0.1996,0.2815,0.3004,0.2907,223,238,0.1712,1.1,0.0,0.000178
