epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
94,0.000082,0.000016,0.006562,0.291834,0.256671,3.516292,0.4929,0.4664,0.4793,0.6872,0.6502,0.6682,0.7488,0.7085,0.7281,223,211,0.4879,0.2,0.0,0.000237
95,0.000080,0.000015,0.006532,0.293685,0.258495,3.518996,0.4905,0.4619,0.4758,0.6952,0.6547,0.6744,0.7476,0.7040,0.7252,223,210,0.4879,0.2,0.0,0.000235
96,0.000078,0.000015,0.006359,0.295329,0.259867,3.546257,0.4882,0.4619,0.4747,0.6777,0.6413,0.6590,0.7488,0.7085,0.7281,223,211,0.4879,0.2,0.0,0.000234
97,0.000085,0.000015,0.007078,0.291392,0.256417,3.497513,0.4836,0.4619,0.4725,0.6761,0.6457,0.6606,0.7418,0.7085,0.7248,223,213,0.4879,0.2,0.0,0.000233
98,0.000082,0.000016,0.006595,0.298837,0.263569,3.526828,0.5072,0.4753,0.4907,0.6938,0.6502,0.6713,0.7560,0.7085,0.7315,223,209,0.4907,0.2,0.0,0.000231
99,0.000098,0.000015,0.008317,0.296700,0.261609,3.509086,0.4976,0.4709,0.4839,0.6872,0.6502,0.6682,0.7393,0.6996,0.7189,223,211,0.4907,0.2,0.0,0.000230
100,0.000084,0.000015,0.006971,0.298288,0.262851,3.543695,0.4834,0.4574,0.4700,0.6872,0.6502,0.6682,0.7488,0.7085,0.7281,223,211,0.4907,0.2,0.0,0.000229
101,0.000091,0.000014,0.007716,0.299111,0.263690,3.542116,0.4930,0.4709,0.4817,0.6761,0.6457,0.6606,0.7371,0.7040,0.7202,223,213,0.4907,0.2,0.0,0.000228
102,0.000085,0.000015,0.007004,0.302079,0.266508,3.557170,0.4882,0.4619,0.4747,0.6777,0.6413,0.6590,0.7441,0.7040,0.7235,223,211,0.4907,0.2,0.0,0.000226
103,0.000073,0.000013,0.006026,0.304587,0.269280,3.530689,0.4882,0.4619,0.4747,0.6825,0.6457,0.6636,0.7441,0.7040,0.7235,223,211,0.4907,0.2,0.0,0.000225
104,0.000075,0.000013,0.006236,0.301687,0.266115,3.557192,0.4836,0.4619,0.4725,0.6808,0.6502,0.6651,0.7465,0.7130,0.7294,223,213,0.4907,0.2,0.0,0.000224
